variant_id,source_rule_family,window,reference_formula,reference_id,net_miss_reduction,misses_resolved,new_misses_created,false_positive_change,false_negative_change,severe_false_positive_change,severe_false_negative_change,spearman_delta,top12_precision_delta,top24_precision_delta,top36_precision_delta,position_level_impact,sparse_history_impact,non_sparse_collateral_damage,collateral_status,classification,pass_fail_status,pass_fail_reasons
REFINE_002_A_DEPTH_STARTER_025,RULE_002,full_history,PYF baseline,PYF_BASELINE,0,11,11,0,0,-1,-1,-0.000,0.002,0.003,0.000,QB:0; RB:2; TE:-2; WR:0,-7,-7,ACCEPTABLE_OR_CONTEXT,REFINED_CONTEXT_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
REFINE_005_D_EARLY_CLEAN_AVAIL_025,RULE_005,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,0,9,9,0,0,0,-2,0.000,0.002,-0.001,0.002,QB:-2; RB:2; TE:-2; WR:2,0,0,ACCEPTABLE_OR_CONTEXT,REFINED_CONTEXT_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
REFINE_005_E_EARLY_LOW_PYF_025,RULE_005,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,2,4,2,-1,-1,1,-1,-0.001,0.000,0.000,0.001,QB:0; RB:2; TE:0; WR:0,-1,-3,UNACCEPTABLE,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|severe_false_positive_spike
REFINE_006_A_DRAFT_ROLE_025,RULE_006,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,4,22,18,-2,-2,-4,-1,0.001,-0.003,0.006,0.002,QB:2; RB:-2; TE:2; WR:2,-3,-7,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
REFINE_006_B_DRAFT_ROLE_050,RULE_006,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,4,39,35,-2,-2,-3,1,0.001,0.003,0.001,0.001,QB:0; RB:-2; TE:6; WR:0,-8,-12,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
REFINE_006_C_ROUND1_ROLE_050,RULE_006,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,4,26,22,-2,-2,-2,-1,0.002,0.003,0.003,0.001,QB:-2; RB:-2; TE:2; WR:6,-3,-7,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
REFINE_006_D_DAY2_STARTER_025,RULE_006,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,-2,16,18,1,1,-1,1,-0.001,-0.007,0.001,0.003,QB:2; RB:2; TE:-4; WR:-2,-8,-6,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction|position_instability
REFINE_006_E_DRAFT_LOW_PYF_ROLE_050,RULE_006,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,6,19,13,-3,-3,-1,0,-0.002,0.003,-0.002,-0.001,QB:0; RB:0; TE:4; WR:2,-5,-11,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
REFINE_011_A_COMPOSITE_SMALL_025,RULE_011,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,0,33,33,0,0,-1,-1,-0.002,-0.007,0.002,0.001,QB:0; RB:0; TE:-2; WR:2,-13,-13,ACCEPTABLE_OR_CONTEXT,REFINED_CONTEXT_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
REFINE_011_B_COMPOSITE_BALANCED_050,RULE_011,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,-10,57,67,5,5,6,4,-0.005,-0.016,-0.007,-0.001,QB:-2; RB:-2; TE:-4; WR:-2,-29,-19,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction|false_positive_creation_too_high|severe_false_positive_spike|spearman_decline|position_instability
REFINE_011_C_COMPOSITE_STRICT_050,RULE_011,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,4,28,24,-2,-2,-1,-2,-0.001,0.003,-0.003,0.001,QB:-2; RB:2; TE:2; WR:2,-1,-5,ACCEPTABLE_OR_CONTEXT,REFINED_MIXED_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12
REFINE_011_D_COMPOSITE_LOW_PYF_050,RULE_011,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,0,23,23,0,0,2,1,-0.008,-0.002,-0.003,-0.001,QB:0; RB:2; TE:-2; WR:0,-12,-12,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction|severe_false_positive_spike|spearman_decline
REFINE_011_E_COMPOSITE_POSITION_025,RULE_011,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,-2,31,33,1,1,-3,0,-0.001,-0.007,0.003,0.001,QB:0; RB:-2; TE:-2; WR:2,-14,-12,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
DIAG_001_A_ROLE_PROMO_025,RULE_001,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,-4,29,33,2,2,0,1,-0.001,-0.005,0.003,0.000,QB:0; RB:-2; TE:-2; WR:0,-16,-12,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
DIAG_001_B_ROLE_PROMO_STARTER_025,RULE_001,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,-8,7,15,4,4,2,1,-0.000,0.000,0.000,-0.001,QB:-2; RB:0; TE:-4; WR:-2,-8,0,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction|false_positive_creation_too_high|severe_false_positive_spike|position_instability
DIAG_003_A_SNAP_GROWTH_025,RULE_003,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,-4,27,31,2,2,-1,2,-0.002,-0.007,0.003,-0.001,QB:0; RB:-2; TE:-2; WR:0,-14,-10,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
DIAG_003_B_SNAP_GROWTH_STARTER_025,RULE_003,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,-6,9,15,3,3,2,0,-0.000,0.000,0.000,0.001,QB:-2; RB:2; TE:-4; WR:-2,-7,-1,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction|false_positive_creation_too_high|severe_false_positive_spike|position_instability
DIAG_008_A_POSITION_PROFILE_025,RULE_008,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,-2,31,33,1,1,-3,0,-0.001,-0.007,0.003,0.001,QB:0; RB:-2; TE:-2; WR:2,-14,-12,UNACCEPTABLE,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction
DIAG_008_B_WR_TE_POSITION_PROFILE_025,RULE_008,broad_window,GAUNTLET_081_DECLINE_SMALL_LATE_GUARD_THREE__PLUS_SNAPDEPTH_SNAP_NOT_LOW_PCT100,BEST_BROAD_WINDOW,0,19,19,0,0,0,1,-0.004,-0.002,0.003,0.001,QB:0; RB:0; TE:-2; WR:2,-11,-11,ACCEPTABLE_OR_CONTEXT,REFINED_HARMFUL_RULE,DID_NOT_PASS_ALL_THRESHOLDS,net_miss_reduction_below_12|resolved_not_meaningfully_above_created|no_false_negative_reduction|spearman_decline
REFINE_002_A_DEPTH_STARTER_025,RULE_002,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,0,5,5,0,0,1,-1,0.000,0.000,0.003,0.000,QB:0; RB:0; TE:0; WR:0,0,0,UNACCEPTABLE,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_002_B_PRIMARY_STARTER_050,RULE_002,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,-4,12,16,2,2,0,-1,-0.004,-0.010,-0.003,-0.003,QB:2; RB:0; TE:0; WR:-6,-7,-3,UNACCEPTABLE,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_002_C_LOW_PYF_STARTER_050,RULE_002,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,-2,4,6,1,1,-2,1,-0.007,-0.005,0.003,-0.003,QB:0; RB:0; TE:-2; WR:0,-4,-2,UNACCEPTABLE,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_002_D_RB_WR_TE_STARTER_025,RULE_002,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,0,6,6,0,0,-1,0,-0.003,0.005,0.003,-0.007,QB:0; RB:0; TE:0; WR:0,-4,-4,ACCEPTABLE_OR_CONTEXT,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_005_A_EARLY_ROLE_015,RULE_005,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,2,4,2,-1,-1,-1,-2,0.001,0.005,0.000,-0.002,QB:0; RB:0; TE:2; WR:0,1,-1,ACCEPTABLE_OR_CONTEXT,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_005_B_EARLY_ROLE_025,RULE_005,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,2,4,2,-1,-1,-1,-2,0.001,0.010,0.005,-0.002,QB:0; RB:0; TE:2; WR:0,1,-1,ACCEPTABLE_OR_CONTEXT,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_005_C_YEAR2_YEAR3_ONLY_025,RULE_005,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,2,4,2,-1,-1,-1,-2,0.002,0.010,0.005,0.000,QB:0; RB:0; TE:2; WR:0,1,-1,ACCEPTABLE_OR_CONTEXT,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_005_D_EARLY_CLEAN_AVAIL_025,RULE_005,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,0,3,3,0,0,0,-1,0.001,0.000,0.003,0.000,QB:0; RB:0; TE:0; WR:0,1,1,ACCEPTABLE_OR_CONTEXT,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_005_E_EARLY_LOW_PYF_025,RULE_005,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,0,0,0,0,0,0,0,-0.000,0.000,0.000,0.000,QB:0; RB:0; TE:0; WR:0,0,0,ACCEPTABLE_OR_CONTEXT,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_006_A_DRAFT_ROLE_025,RULE_006,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,0,5,5,0,0,-2,-1,0.001,0.005,0.008,0.002,QB:0; RB:0; TE:0; WR:0,-1,-1,ACCEPTABLE_OR_CONTEXT,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_006_B_DRAFT_ROLE_050,RULE_006,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,0,11,11,0,0,-2,-2,0.001,0.005,0.013,0.002,QB:2; RB:2; TE:0; WR:-4,-3,-3,ACCEPTABLE_OR_CONTEXT,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_006_C_ROUND1_ROLE_050,RULE_006,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,-2,7,9,1,1,0,-1,0.001,-0.005,0.008,0.000,QB:2; RB:0; TE:-2; WR:-2,-3,-1,UNACCEPTABLE,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_006_D_DAY2_STARTER_025,RULE_006,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,2,2,0,-1,-1,-1,-1,-0.001,0.010,0.000,-0.003,QB:0; RB:0; TE:2; WR:0,2,0,ACCEPTABLE_OR_CONTEXT,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_006_E_DRAFT_LOW_PYF_ROLE_050,RULE_006,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,-2,3,5,1,1,-1,1,-0.002,-0.005,0.005,0.000,QB:0; RB:0; TE:-2; WR:0,-4,-2,UNACCEPTABLE,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_011_A_COMPOSITE_SMALL_025,RULE_011,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,0,7,7,0,0,-1,-1,-0.001,0.010,0.003,-0.007,QB:0; RB:0; TE:0; WR:0,-3,-3,ACCEPTABLE_OR_CONTEXT,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_011_B_COMPOSITE_BALANCED_050,RULE_011,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,-4,14,18,2,2,0,0,-0.003,-0.005,0.000,-0.003,QB:2; RB:0; TE:0; WR:-6,-8,-4,UNACCEPTABLE,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_011_C_COMPOSITE_STRICT_050,RULE_011,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,2,8,6,-1,-1,1,0,0.000,0.000,0.005,0.000,QB:0; RB:2; TE:0; WR:0,2,0,UNACCEPTABLE,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_011_D_COMPOSITE_LOW_PYF_050,RULE_011,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,-2,4,6,1,1,-2,1,-0.006,-0.005,0.003,-0.003,QB:0; RB:0; TE:-2; WR:0,-4,-2,UNACCEPTABLE,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
REFINE_011_E_COMPOSITE_POSITION_025,RULE_011,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,0,5,5,0,0,-2,-1,-0.000,0.010,0.003,-0.003,QB:0; RB:0; TE:0; WR:0,-1,-1,ACCEPTABLE_OR_CONTEXT,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
DIAG_001_A_ROLE_PROMO_025,RULE_001,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,0,8,8,0,0,-1,-1,-0.002,0.010,0.003,-0.003,QB:0; RB:0; TE:0; WR:0,-3,-3,ACCEPTABLE_OR_CONTEXT,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
DIAG_001_B_ROLE_PROMO_STARTER_025,RULE_001,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,0,5,5,0,0,1,-1,-0.000,0.000,0.003,0.000,QB:0; RB:0; TE:0; WR:0,0,0,UNACCEPTABLE,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
DIAG_003_A_SNAP_GROWTH_025,RULE_003,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,0,4,4,0,0,-1,-1,-0.001,0.010,0.005,0.000,QB:0; RB:0; TE:0; WR:0,0,0,ACCEPTABLE_OR_CONTEXT,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
DIAG_003_B_SNAP_GROWTH_STARTER_025,RULE_003,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,0,3,3,0,0,1,-1,0.000,0.000,0.003,0.000,QB:0; RB:0; TE:0; WR:0,1,1,UNACCEPTABLE,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
DIAG_008_A_POSITION_PROFILE_025,RULE_008,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,0,5,5,0,0,-2,-1,-0.000,0.010,0.003,-0.003,QB:0; RB:0; TE:0; WR:0,-1,-1,ACCEPTABLE_OR_CONTEXT,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
DIAG_008_B_WR_TE_POSITION_PROFILE_025,RULE_008,partial_window,GAUNTLET_083_DECLINE_DECLINE_COMBO_GUARD__PLUS_FFOPPORTUNITY_PCT10,BEST_PARTIAL_WINDOW,0,3,3,0,0,-1,0,-0.004,0.005,0.003,-0.003,QB:0; RB:0; TE:0; WR:0,-1,-1,ACCEPTABLE_OR_CONTEXT,REFINED_PARTIAL_WINDOW_ONLY_RULE,DID_NOT_PASS_ALL_THRESHOLDS,partial_window_only
